SDSS_name,objID,A1
SDSS J143822.02+272010.6,1237665351318503492,0.06
SDSS J130229.86+495728.2,1237661151915278390,0.05
SDSS J104847.36+233407.3,1237667550880923881,0.07
SDSS J075242.43+520132.2,1237663788491997393,0.06
SDSS J085725.48+175507.1,1237667292650406067,0.06
SDSS J090949.19+195126.9,1237667293725655266,0.06
SDSS J094740.50+213815.1,1237667429559566437,0.07
SDSS J121829.56+353720.0,1237665129080684597,0.09
SDSS J131350.18+170434.5,1237668590265565207,0.06
SDSS J145657.09+344928.7,1237662194003345518,0.05
SDSS J075829.63+473911.2,1237663546899628267,0.07
SDSS J122417.89+320846.3,1237665329852776542,0.12
SDSS J005519.78-103227.4,1237652629104558190,0.05
SDSS J123144.00+280850.5,1237667444045971552,0.1
SDSS J084706.98+275225.0,1237664094510907472,0.09
SDSS J171228.43+305434.7,1237655502426079358,0.07
SDSS J135020.56+331841.9,1237665025450180672,0.05
SDSS J130701.55+160025.5,1237668588654231692,0.08
SDSS J020939.47+135859.5,1237670960544546959,0.03
SDSS J123819.97+191952.5,1237667914885365865,0.07
SDSS J121426.30+241055.4,1237667910592692319,0.1
SDSS J075430.67+254857.5,1237657627894284807,0.09
SDSS J083054.12+201452.9,1237673807047098536,0.1
SDSS J030119.81+005155.5,1237678437018829019,0.06
SDSS J074731.12+173932.6,1237673808653058765,0.11
SDSS J145605.88+342854.5,1237662193466474523,0.04
SDSS J133940.29+350124.1,1237664672182501563,0.07
SDSS J145607.10+221248.6,1237665549430292708,0.09
SDSS J122117.42+254829.7,1237667448340611259,0.07
SDSS J110718.69+225631.2,1237667549272145983,0.11
SDSS J114140.11-021446.6,1237671128050893040,0.07
SDSS J120242.68+095414.3,1237674599999471779,0.07
SDSS J081309.98+114830.0,1237667731805503936,0.06
SDSS J122949.38+222219.7,1237667735046717476,0.03
SDSS J145454.00+185012.0,1237667783924383923,0.05
SDSS J031651.22+411520.7,1237661083199079644,0.09
SDSS J115604.81+053110.2,1237671141483741382,0.11
SDSS J142235.46+201207.5,1237667783384105171,0.06
SDSS J102638.59+374628.8,1237661381702647942,0.13
SDSS J020635.19+123113.1,1237653650774687851,0.06
SDSS J090652.36+412107.8,1237657775543746785,0.07
SDSS J113853.58+524248.9,1237657857682309232,0.05
SDSS J104005.81+073402.2,1237658424627626102,0.13
SDSS J122202.40+103714.9,1237658493355491395,0.04
SDSS J163452.41+401141.1,1237655374110392422,0.06
SDSS J142728.67+450032.1,1237661210970816707,0.05
SDSS J084149.17+504711.1,1237651190820634755,0.06
SDSS J143437.29+025256.6,1237651737384452177,0.08
SDSS J113154.49+534458.5,1237658800961159186,0.08
SDSS J114634.65+031542.2,1237654030867693680,0.07
SDSS J004551.93-091941.5,1237652630714122400,0.06
SDSS J024050.03-075832.5,1237653502044668058,0.12
SDSS J122035.28+505805.7,1237658614132965517,0.08
SDSS J133743.34+451742.9,1237661433777422588,0.05
SDSS J114535.04+121217.7,1237661949714038923,0.1
SDSS J152052.24+483938.4,1237659163343716381,0.02
SDSS J132955.11+485049.8,1237661151380439178,0.1
SDSS J074905.77+283710.0,1237657118404444790,0.04
SDSS J090656.56+461216.0,1237657770705289247,0.06
SDSS J163301.95+423800.6,1237655349969420588,0.13
SDSS J100535.94+511613.8,1237657632191021271,0.09
SDSS J115213.07+102149.9,1237658493352280166,0.1
SDSS J084408.26+344302.0,1237658191613329449,0.06
SDSS J122350.36+084351.4,1237661977084493935,0.06
SDSS J023845.64-090312.8,1237652899691495566,0.06
SDSS J163256.48+311548.8,1237659152608788758,0.09
SDSS J094246.29+041734.0,1237654602098409561,0.06
SDSS J124830.93+501114.2,1237658205050372341,0.12
SDSS J105159.20+085641.5,1237658492271984939,0.1
SDSS J091646.39+442354.4,1237657242432962703,0.03
SDSS J113204.54+535533.0,1237657589783462029,0.03
SDSS J120500.87+390438.8,1237664667370586197,0.07
SDSS J094456.56+310552.2,1237664836471619657,0.14
SDSS J165223.95+280823.5,1237666226953781664,0.07
SDSS J131804.32+411734.6,1237661966897971261,0.06
SDSS J132944.78+100104.0,1237662264311349433,0.06
SDSS J132356.91+152449.1,1237662531134226597,0.05
SDSS J122525.47+285638.3,1237667252942602358,0.06
SDSS J103353.36+111225.4,1237661949706305665,0.09
SDSS J144140.51+040347.1,1237654880202522861,0.06
SDSS J160918.50+343018.0,1237662301371957500,0.07
SDSS J102158.01+241145.1,1237667430100041836,0.12
SDSS J154138.32+341130.0,1237661463838916805,0.07
SDSS J074115.73+290804.6,1237657595145290053,0.07
SDSS J133546.45+260606.5,1237665531707850900,0.06
SDSS J085729.44+222511.5,1237667142864666755,0.05
SDSS J115232.64+502726.1,1237658205583376506,0.09
SDSS J144451.59+301451.7,1237665103287353402,0.06
SDSS J125652.28+262915.7,1237667322186891379,0.08
SDSS J074706.23+171406.0,1237674370750677656,0.07
SDSS J151623.02+082720.7,1237661949199843650,0.06
SDSS J152526.69+090550.5,1237661950274568383,0.1
SDSS J160107.95+223144.9,1237665103295545506,0.08
SDSS J124917.58+052354.9,1237671763178356833,0.07
SDSS J153819.25+135404.7,1237668311627006080,0.11
SDSS J113850.98+193605.2,1237667915416142002,0.13
SDSS J095131.13+152357.2,1237670964315095160,0.07
SDSS J100623.86+241226.2,1237667431172276306,0.1
SDSS J084828.26+012350.1,1237653664714129811,0.07
SDSS J132746.97+174643.8,1237668591340748813,0.09
SDSS J122048.32+222330.3,1237667735045800128,0.11
SDSS J165105.08+261638.8,1237662500012949942,0.06
SDSS J155907.45+523416.4,1237655130908590237,0.06
SDSS J142801.80+275655.6,1237665351317454928,0.07
SDSS J215736.70+065301.8,1237669698907078925,0.04
SDSS J125952.16+013825.2,1237651752943157333,0.03
SDSS J083233.47+435845.1,1237654653102129361,0.12
SDSS J091850.50+533315.0,1237654382515519637,0.06
SDSS J033653.91-064943.5,1237652900234723630,0.05
SDSS J153637.69+471826.7,1237659324413444219,0.07
SDSS J094446.79+071356.8,1237660583367868440,0.06
SDSS J091837.96+375206.1,1237660635989213284,0.06
SDSS J165914.69+334357.9,1237655473435050048,0.14
SDSS J014545.08+125618.7,1237649918433755294,0.1
SDSS J112934.48+150627.0,1237661070331609422,0.13
SDSS J134631.58+051234.9,1237655126092611874,0.04
SDSS J100836.84+383849.3,1237661384385691870,0.07
SDSS J104608.28+123658.9,1237661068179472527,0.08
SDSS J160747.92+391141.1,1237661386004824207,0.1
SDSS J111856.45+033527.1,1237655123929071719,0.08
SDSS J080112.74+253323.0,1237660562968609040,0.08
SDSS J015244.40+131133.2,1237649918971347047,0.04
SDSS J161124.82+501356.8,1237655130909900963,0.04
SDSS J131314.02+610254.1,1237655463771504782,0.04
SDSS J102920.00+531644.2,1237657610723459195,0.05
SDSS J122757.03+482412.5,1237661358618706049,0.05
SDSS J134000.09+570832.1,1237661388676137047,0.07
SDSS J105436.81+555800.3,1237657771250614418,0.06
SDSS J143630.38+112341.2,1237662528457736263,0.05
SDSS J132311.86+131309.9,1237661951335071754,0.09
SDSS J161132.75+334738.1,1237662498934227135,0.07
SDSS J150750.69+573620.4,1237671768535400646,0.05
SDSS J090046.55+294849.0,1237661382230999331,0.06
SDSS J103539.30+283356.8,1237667255616471087,0.1
SDSS J084252.17+253833.7,1237664092899442880,0.09
SDSS J135649.45+254231.2,1237665532246818908,0.06
SDSS J100239.68+240917.0,1237667294268227667,0.05
SDSS J121340.80+021115.7,1237651753474916473,0.08
SDSS J090124.57+101200.6,1237664286709907676,0.09
SDSS J140307.14+092146.9,1237662238014439648,0.07
SDSS J125634.63+271339.2,1237667323260567703,0.11
SDSS J152850.49+132607.5,1237668271374336340,0.09
SDSS J092108.40+213828.5,1237667253461057751,0.07
SDSS J150718.12+403911.4,1237661210437681276,0.07
SDSS J112731.48+565830.5,1237661417665528016,0.07
SDSS J113630.23+131346.9,1237661813880848471,0.09
SDSS J120944.10+371935.4,1237664818750423132,0.04
SDSS J133910.83+285733.1,1237665442593308752,0.09
SDSS J155759.97+194033.0,1237665535467716844,0.08
SDSS J141129.00+240218.9,1237665548352028823,0.05
SDSS J130456.96+395529.7,1237662225681875125,0.06
SDSS J160536.53+181622.7,1237665534931829148,0.04
SDSS J003654.34-010745.0,1237663782590808207,0.06
SDSS J160440.82+145450.2,1237665566618485198,0.11
SDSS J215759.85-072749.5,1237666210884550902,0.07
SDSS J102317.39+150139.5,1237668495236464802,0.09
SDSS J020757.71-043915.1,1237679254133538894,0.1
SDSS J113518.35-024626.6,1237671129660981478,0.11
SDSS J130515.33+354316.8,1237664671642550328,0.07
SDSS J141126.20+311608.6,1237665101673595066,0.05
SDSS J161912.24+140904.9,1237665531188478406,0.1
SDSS J114253.19+201046.0,1237668294449496067,0.05
SDSS J151331.02+152132.9,1237668311624253779,0.07
SDSS J115723.50+043234.9,1237671128054366246,0.05
SDSS J081305.68+491511.3,1237651496296644663,0.1
SDSS J114344.41+230024.1,1237667736115806367,0.11
SDSS J155940.45+115830.1,1237668311092560074,0.07
SDSS J132330.79+134622.3,1237662528986742874,0.06
SDSS J112855.56+032432.6,1237651755080679543,0.06
SDSS J091708.48+195233.8,1237667430093226041,0.08
SDSS J112733.79+282733.7,1237667252937031718,0.06
SDSS J095232.80+154936.6,1237670964852097155,0.03
SDSS J100226.37+135632.7,1237671123230523531,0.08
SDSS J134613.22-032305.4,1237671990269837527,0.1
SDSS J115522.76+350210.3,1237665128541716634,0.13
SDSS J161049.77+190550.7,1237665536542769440,0.07
SDSS J162615.68+101408.6,1237668272454369701,0.05
SDSS J171910.04+644827.8,1237671769079808322,0.09
SDSS J102707.57+012934.4,1237651752926445722,0.09
SDSS J160323.51+473121.1,1237655348892598387,0.06
SDSS J150345.78+424158.6,1237661212047573100,0.08
SDSS J122506.90+603332.3,1237658607682846750,0.06
SDSS J141759.53+184424.2,1237668273514021101,0.06
SDSS J100920.11+104635.8,1237660670353604870,0.11
SDSS J150937.40+450804.4,1237662501074567336,0.06
SDSS J100430.24+370354.6,1237661137958994007,0.11
SDSS J151059.66+082920.9,1237662198283633002,0.08
SDSS J134535.48+262052.1,1237665549959954543,0.06
SDSS J101650.92+114648.2,1237661068176326733,0.06
SDSS J171509.62+341237.0,1237654953746563742,0.1
SDSS J121353.86+564129.3,1237661352170029218,0.07
SDSS J135355.99+215954.7,1237667910065848464,0.04
SDSS J154638.89+535038.7,1237655130370736146,0.07
SDSS J011430.80+001928.3,1237666339726753950,0.08
SDSS J223848.14+000816.9,1237663479261561099,0.13
SDSS J231706.07-100720.9,1237653440836862056,0.06
SDSS J165139.11+234237.5,1237662337871904959,0.08
SDSS J133430.04+134814.8,1237664289936310441,0.1
SDSS J150411.78+072723.1,1237662237484253190,0.07
SDSS J114001.93+611808.5,1237653616937402441,0.07
SDSS J104218.24+190653.2,1237668290159706225,0.07
SDSS J125953.28+041822.7,1237654879654576254,0.05
SDSS J133848.17+602643.7,1237655369292251170,0.04
SDSS J091601.80+173523.3,1237667537465704588,0.08
SDSS J100549.50+181551.5,1237667781747146934,0.05
SDSS J143711.49+055120.7,1237655743479480646,0.04
SDSS J163437.56+263735.4,1237662337332936818,0.06
SDSS J095557.05+133315.1,1237671123229802623,0.07
SDSS J103627.89+445257.7,1237660635996291172,0.06
SDSS J075759.49+460048.1,1237651273493971258,0.07
SDSS J075054.67+502342.3,1237663787954405708,0.12
SDSS J150133.36+490644.8,1237661416605941822,0.1
SDSS J153422.59+233006.0,1237665373867278695,0.05
SDSS J143519.56+122820.6,1237662636903039198,0.06
SDSS J144555.60+552622.1,1237659150995554432,0.07
SDSS J083950.76+230836.1,1237664874045964338,0.08
SDSS J095443.54+275506.8,1237665369573359746,0.06
SDSS J085939.27+074923.1,1237660669809131748,0.05
SDSS J142345.79+455552.2,1237658205057581061,0.06
SDSS J134934.65+281951.4,1237665429168324747,0.09
SDSS J150426.65+282344.3,1237665129096282317,0.05
SDSS J094326.51+361414.5,1237661139030900758,0.11
SDSS J092541.97+021422.8,1237651754530308183,0.06
SDSS J120854.20+321339.7,1237665329851334762,0.08
SDSS J132603.20+415516.5,1237661967972368415,0.07
SDSS J145904.13+193514.2,1237665566074470519,0.06
SDSS J113314.72+442622.1,1237661872936779985,0.05
SDSS J133720.67+523234.9,1237659131131461763,0.05
SDSS J151431.84+310151.4,1237662224620257470,0.07
SDSS J171710.40+641938.2,1237671768542806312,0.07
SDSS J143846.28+010657.7,1237651735237492915,0.06
SDSS J014602.45-001736.3,1237663783672152067,0.06
SDSS J083713.33+471133.4,1237654390570745950,0.04
SDSS J115019.54+534724.2,1237657589247705256,0.06
SDSS J164150.39+374405.2,1237659327104418116,0.07
SDSS J081855.65+562117.4,1237663916268126461,0.1
SDSS J153752.72+301020.2,1237662340010279154,0.07
SDSS J135248.81+212359.0,1237667783381024915,0.07
SDSS J212900.74+095928.9,1237656494023639392,0.09
SDSS J091735.57+031942.8,1237654605316685877,0.04
SDSS J094011.10+095704.2,1237661065488040142,0.06
SDSS J134916.94+050513.7,1237655126092939491,0.07
SDSS J111035.69+584605.8,1237658303280775293,0.08
SDSS J141042.86+312412.5,1237665128017297584,0.07
SDSS J144741.81+202323.8,1237665566073290846,0.06
SDSS J152220.87+444732.7,1237659132213461109,0.06
SDSS J004052.51-001644.3,1237663783665008852,0.05
SDSS J104913.60+233447.8,1237667550880989367,0.07
SDSS J115110.67+435632.8,1237661871864414422,0.07
SDSS J082625.38+530457.6,1237651274034577506,0.06
SDSS J155329.12+233445.8,1237664852043366426,0.04
SDSS J151904.37+215051.4,1237665441529856307,0.05
SDSS J115340.16+532142.3,1237657630601248895,0.04
SDSS J134340.52+414144.9,1237662196143882397,0.06
SDSS J145059.95+134939.0,1237668332029083791,0.05
SDSS J123815.15+530304.0,1237657857686175868,0.07
SDSS J095635.17+100540.7,1237661064952938634,0.07
SDSS J113938.84+572910.5,1237657612338725043,0.08
SDSS J121445.78+131935.0,1237661950790860897,0.05
SDSS J091740.59+400513.3,1237658205033857243,0.07
SDSS J114542.66+212623.4,1237667781757501622,0.04
SDSS J082115.28+354515.3,1237664871354532122,0.07
SDSS J100715.08+085153.9,1237658493340942514,0.07
SDSS J095208.46+123756.5,1237661070321254721,0.06
SDSS J131639.93+351900.0,1237665026520711221,0.06
SDSS J155019.85+560755.1,1237651539260604725,0.04
SDSS J160250.88+320841.4,1237662337329070262,0.08
SDSS J111557.04+035050.1,1237654604255854736,0.07
SDSS J104322.72+005834.1,1237654671350956213,0.11
SDSS J154110.52+214541.6,1237665372794454281,0.06
SDSS J121711.66+600613.9,1237655108377837653,0.1
SDSS J112025.88+242946.3,1237667550884135054,0.04
SDSS J143653.02+120940.5,1237662529531478167,0.07
SDSS J153600.99+252405.4,1237662695961788732,0.11
SDSS J140912.00+143352.7,1237668348134883475,0.1
SDSS J123744.39+333708.7,1237665228380831830,0.09
SDSS J134215.66+210147.1,1237667735054123122,0.08
SDSS J123021.55+564729.3,1237661416595521738,0.1
SDSS J100450.63+350657.3,1237662225129406591,0.09
SDSS J150501.09+055149.2,1237662268073378023,0.09
SDSS J012743.92-005416.9,1237657069546111052,0.05
SDSS J161054.07-011209.9,1237648702992417025,0.05
SDSS J105105.95+131842.0,1237664131018784977,0.07
SDSS J094839.73+363649.3,1237661139031359610,0.05
SDSS J155056.20+281543.8,1237662305662009763,0.07
SDSS J123904.03+392043.4,1237664294218235966,0.07
SDSS J152526.05+063545.5,1237662263250190437,0.07
SDSS J092657.85+654125.2,1237663916273565818,0.06
SDSS J075548.88+163322.6,1237664874040590697,0.08
SDSS J092705.74+414412.6,1237658205571776767,0.07
SDSS J122206.48+233631.4,1237667736656543913,0.06
SDSS J091603.03+341353.7,1237664870822576353,0.05
SDSS J165808.12+325859.3,1237655373577322940,0.05
SDSS J081054.68+310759.9,1237657775000191397,0.06
SDSS J170005.76+224830.5,1237662474773921799,0.06
SDSS J120645.99+404236.5,1237664669518266420,0.06
SDSS J075956.58+322319.8,1237657119480152271,0.04
SDSS J035738.39-053055.9,1237649962996138329,0.06
SDSS J080024.04+304038.0,1237657776609952199,0.06
SDSS J214503.80+060218.8,1237669762792948218,0.06
SDSS J141939.23+543947.4,1237661418749755516,0.05
SDSS J075710.37+143931.4,1237667255599366211,0.05
SDSS J100552.98+130845.3,1237661070322696268,0.04
SDSS J104539.19+204446.4,1237667735036100725,0.06
SDSS J102241.93+153451.8,1237668495773335738,0.07
SDSS J093351.45+223520.8,1237667210512891953,0.06
SDSS J081917.11+345939.4,1237674289684218177,0.07
SDSS J121701.19+490145.4,1237658203437531291,0.08
SDSS J121614.40+462050.9,1237661355933499464,0.05
SDSS J112714.09+442103.1,1237661872936321097,0.07
SDSS J131147.96+450518.2,1237661852010283210,0.05
SDSS J130252.46+074050.3,1237661976014946452,0.06
SDSS J160026.66+163736.0,1237665549437370485,0.05
SDSS J160138.37+070634.0,1237661949741695045,0.06
SDSS J114736.10+383550.7,1237662223527837786,0.06
SDSS J150530.01+395749.9,1237661362379882515,0.08
SDSS J141920.65+043623.3,1237654880736968833,0.07
SDSS J114132.38+190349.1,1237668292838686804,0.06
SDSS J152616.88+083447.6,1237661949737763282,0.07
SDSS J125921.46+450831.4,1237661873480335409,0.06
SDSS J074918.64+292635.6,1237657118941643083,0.09
SDSS J095127.35+055337.7,1237658423548510457,0.06
SDSS J082323.32+564643.3,1237663786884202598,0.06
SDSS J133306.06+322625.3,1237665126940082221,0.08
SDSS J132446.97+451348.6,1237661360224010257,0.07
SDSS J103438.59+393828.2,1237661138498682930,0.07
SDSS J095231.56+154631.6,1237668288543719458,0.04
SDSS J152356.49+380719.6,1237661465447301355,0.05
SDSS J133613.43+102841.5,1237662264848941059,0.08
SDSS J114148.04+200613.4,1237667915953274946,0.07
SDSS J151036.11+410316.9,1237658204524970039,0.05
SDSS J100405.25+311107.6,1237664336632741928,0.07
SDSS J103625.67+583322.2,1237658304889487581,0.08
SDSS J114223.71+101550.9,1237660614513000572,0.04
SDSS J150530.55+083127.6,1237662264858574946,0.04
SDSS J131933.40+165911.6,1237668590266155130,0.07
SDSS J094508.97+683540.4,1237663917885554734,0.07
SDSS J082224.79+253032.6,1237661125612077126,0.06
SDSS J112530.43+632646.7,1237651065203064903,0.12
SDSS J091039.67+502247.4,1237655108902584442,0.06
SDSS J131903.09+393521.6,1237662225683054766,0.09
SDSS J210107.74-001142.6,1237663543139565616,0.1
SDSS J124957.86+274920.7,1237667323796783113,0.08
SDSS J114803.36+302133.5,1237667212137005114,0.07
SDSS J205527.62-011330.8,1237656567038935144,0.08
SDSS J012858.64-005656.4,1237657069546242361,0.06
SDSS J115607.19+552326.7,1237658802573410381,0.07
SDSS J134516.17+231308.2,1237667911138672682,0.09
SDSS J143855.08+203024.1,1237665565535502381,0.04
SDSS J081600.79+270433.1,1237660765908893968,0.09
SDSS J080538.66+261005.4,1237660343925997780,0.05
SDSS J123713.53+492653.6,1237658203975844003,0.1
SDSS J111816.68+281537.5,1237667210523508832,0.07
SDSS J112444.80+233653.7,1237667910587711520,0.07
SDSS J121155.12+161353.7,1237664292075077715,0.09
SDSS J134938.78+041417.8,1237655125019263012,0.08
SDSS J144414.73+041306.7,1237651822711603220,0.08
SDSS J112306.93+651506.6,1237654400764149907,0.08
SDSS J145459.83+621633.3,1237654949445501118,0.04
SDSS J162621.91+405442.7,1237655373035995195,0.11
SDSS J170654.71+301611.1,1237655373578764314,0.09
SDSS J073906.02+290936.2,1237657595682030119,0.1
SDSS J105359.85+493934.9,1237657628449439839,0.05
SDSS J143409.98+540444.0,1237659148310872204,0.04
SDSS J162133.88+380030.8,1237659162813530234,0.08
SDSS J095524.67+410916.2,1237660343400988821,0.11
SDSS J114242.00+085224.8,1237660612902387818,0.1
SDSS J165728.60+223557.6,1237661465995248061,0.09
SDSS J151932.66+095736.0,1237662200431968509,0.07
SDSS J134205.95+370228.3,1237662223537733685,0.05
SDSS J153551.88+060328.9,1237662269150396885,0.07
SDSS J081618.48+522518.9,1237663546902053108,0.07
SDSS J081314.18+522731.4,1237663547438792835,0.08
SDSS J133130.19+333223.4,1237665024911540261,0.06
SDSS J153726.08+214437.7,1237665372257255598,0.05
SDSS J143727.86+254556.0,1237665429173108785,0.06
SDSS J132324.62+263236.8,1237665531706605713,0.12
SDSS J160619.53+162553.1,1237665532260581478,0.07
SDSS J114715.04+191033.6,1237668292839276657,0.11
SDSS J080241.90+345640.7,1237674367530762513,0.11
SDSS J023143.18+005415.8,1237678617434456201,0.07
SDSS J090934.95+183656.5,1237667292114845769,0.12
SDSS J134554.23+021502.3,1237651736305402018,0.05
SDSS J104334.68+220902.9,1237667549269721194,0.07
SDSS J092147.02+522452.7,1237654654180982969,0.14
SDSS J095904.10+332849.9,1237664667359248612,0.12
SDSS J155819.59+042705.4,1237655744025264421,0.15
SDSS J110546.24+303137.4,1237665367969628312,0.09
SDSS J113418.77+541112.9,1237658801498226800,0.09
SDSS J083354.94+394753.3,1237657606962806995,0.08
SDSS J012334.15+150456.1,1237649920578814069,0.06
SDSS J113716.25+454526.6,1237661852539879572,0.07
SDSS J110528.50+374440.6,1237662224061104203,0.08
SDSS J094841.18+342300.5,1237664669506011341,0.1
SDSS J132507.20+155025.3,1237668623019278497,0.06
SDSS J142256.52+402501.7,1237661872413606266,0.15
SDSS J102032.70+441228.9,1237660636531851383,0.15
SDSS J160746.09+005427.0,1237651735784063182,0.05
SDSS J024543.56-003221.5,1237657070091501786,0.09
SDSS J091345.39+345014.3,1237660962402861130,0.07
SDSS J034626.96-063152.5,1237652900235771982,0.04
SDSS J130522.93+043843.3,1237655125014413478,0.09
SDSS J105030.53+123008.2,1237660671431868495,0.12
SDSS J100515.00+513545.9,1237657769636331635,0.1
SDSS J082959.06+304340.1,1237660635983774050,0.07
SDSS J133839.93+552700.5,1237661386528784541,0.04
SDSS J152414.99+383815.9,1237662473151971518,0.09
SDSS J155327.84+171824.5,1237665549436584282,0.13
SDSS J231235.24+131627.9,1237656494034845882,0.14
SDSS J130305.82+381852.0,1237662223534325872,0.1
SDSS J133229.82+223607.4,1237667736663621814,0.09
SDSS J123313.69+121449.1,1237658629695864880,0.08
SDSS J102126.42+381747.3,1237661382776062136,0.11
SDSS J105125.25+190051.8,1237668289623752915,0.08
SDSS J084749.72+185442.7,1237667211044782348,0.09
SDSS J093658.58+144218.3,1237671262814142753,0.05
SDSS J135747.62+072346.5,1237661972269891721,0.12
SDSS J082832.83+084401.6,1237671123220168862,0.04
SDSS J123408.47+192925.0,1237667914884907238,0.08
SDSS J162328.05+391129.0,1237659324955426909,0.09
SDSS J123046.04+445739.4,1237661850933395536,0.04
SDSS J133003.89+121030.6,1237661950262050854,0.09
SDSS J090323.31+133038.3,1237670965383659650,0.06
SDSS J110956.80+132728.8,1237664130483945605,0.04
SDSS J083944.54+051339.5,1237658300595372377,0.15
SDSS J102516.72+520314.4,1237658802567381006,0.05
SDSS J125941.31+273935.3,1237667323797700828,0.09
SDSS J104512.79+201103.4,1237667734499164240,0.1
SDSS J150027.59+062717.0,1237662268609724557,0.11
SDSS J132630.26+452336.5,1237661433239699594,0.12
SDSS J104733.80+453404.6,1237661358074298455,0.06
SDSS J131635.50-020528.8,1237655499199348807,0.08
SDSS J111313.28+553320.8,1237657220414111770,0.11
SDSS J113543.12+494416.1,1237658205045260329,0.1
SDSS J115457.88+484450.8,1237658611446775895,0.11
SDSS J210621.68-004616.3,1237656567576986167,0.08
SDSS J134555.12+230348.8,1237667911138738226,0.05
SDSS J114220.06+544730.0,1237658802035622010,0.14
SDSS J134248.47+145553.5,1237662531136258115,0.11
SDSS J114747.44+184309.6,1237668292302471281,0.03
SDSS J102204.87+202824.5,1237667736107483156,0.1
SDSS J114620.23+354318.4,1237665129614671905,0.14
SDSS J083053.37+264301.2,1237661125613060145,0.09
SDSS J105010.84+350201.2,1237664337711005759,0.09
